2hv6_A	_0_b_7_i_4_e_3_c_3_l	_3_c_7_i_7_d_1_f_4_j	0.630
4urp_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_e_18_j_0_-_5_b_0_-_5_D_0_k_18_G	0.391
2jt1_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_0_l_4_A_0_g_0_-_3_k_3_C_8_C	0.486
3bwh_A	_0_b_7_i_4_e_3_c_0_-_0_-_3_l_2_D_2_D	_3_b_4_j_6_h_5_b_1_g_10_g_1_j_5_H_5_E	0.447
1wt9_B	_7_i_4_e_3_c_3_l_2_D_2_D	_1_h_6_A_0_-_5_l_3_B_29_E	0.451
2dlz_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_0_b_3_B_3_i_0_-_0_-_0_-_4_D_8_E	0.391
4qt9_B	_0_b_7_i_0_-_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_0_e_2_h_4_l_3_d_9_B_18_d_7_a_7_b_2_E_2_D	0.419
1m6s_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_3_b_4_g_0_-_6_b_3_k_4_D_2_j_5_D	0.679
3kg7_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_5_b_0_-_7_e_7_b_0_-_7_F_10_E	0.498
1nq6_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_1_b_3_i_2_C_5_c_9_k_2_H_12_m_6_E_23_j_4_E	0.445
1ion_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_6_c_9_d_5_c_7_C_5_e_2_h_7_D_15_E	0.468
3e7a_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_10_k_4_B_7_f_1_g_2_j_5_C_3_C	0.480
2bkv_A	_7_i_4_e_3_c_0_-_3_l_2_D_2_D	_10_g_1_b_4_b_0_A_8_k_5_C_21_C	0.592
4rsc_B	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_4_c_2_c_3_f_5_I_4_b_0_-_13_C_4_D	0.479
1qo0_A	_7_i_0_-_4_e_3_c_0_-_3_l_0_-_0_-_2_D_2_D	_5_j_7_B_4_c_4_c_3_C_8_k_8_n_4_g_4_B_2_D	0.380
3gqb_B	_0_b_0_-_7_i_4_e_0_-_0_-_3_c_0_-_3_l_2_D	_7_b_28_C_4_j_4_c_8_I_1_k_2_c_0_F_5_n_4_F	0.363
2be3_A	_4_e_3_c_0_-_3_l_2_D_2_D	_2_e_10_c_4_C_4_j_5_E_12_H	0.489
3l4d_A	_0_b_7_i_0_-_4_e_0_-_3_c_0_-_3_l_0_-_0_-_2_D_2_D	_2_e_2_j_4_c_2_d_3_r_10_d_12_s_2_l_7_d_3_k_6_D_3_B	0.362
4b1j_A	_0_b_0_-_0_-_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_2_b_6_d_7_e_5_g_18_E_0_j_23_c_6_m_5_G_6_b_7_C	0.406
1t5c_B	_0_b_7_i_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_5_c_0_-_5_f_5_F_5_d_8_k_5_A_2_H_2_C	0.436
3ib0_A	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_7_b_4_C_10_i_4_b_3_B_8_b_22_i_5_D_0_e_15_b_0_C	0.403
4mig_B	_0_b_0_-_7_i_0_-_4_e_0_-_3_c_0_-_0_-_3_l_0_-_2_D_2_D	_3_b_1_d_1_j_1_A_36_b_5_A_5_c_28_n_1_A_7_l_7_A_2_D_6_B	0.401
1cgt_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_8_b_10_h_2_c_1_d_0_-_1_F_3_G	0.594
1rz4_A	_0_b_7_i_4_e_3_c_0_-_0_-_3_l_2_D	_1_b_2_k_5_e_3_c_4_j_3_f_12_l_2_A	0.517
1hsk_A	_7_i_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_0_i_2_b_0_E_0_b_8_E_4_k_4_C_5_B	0.456
2i82_A	_0_b_7_i_4_e_3_c_0_-_0_-_0_-_3_l_2_D_2_D	_11_b_0_-_5_d_0_-_4_A_7_C_1_A_2_j_7_E_6_D	0.419
3ojy_A	_0_b_7_i_4_e_0_-_0_-_0_-_3_c_3_l_0_-_2_D_2_D	_0_e_4_i_16_e_2_E_11_i_2_H_0_f_6_m_2_b_9_C_2_C	0.389
6qfp_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_0_b_0_-_1_B_1_c_0_-_10_E_3_D	0.393
5olq_C	_4_e_0_-_3_c_3_l_2_D_2_D	_4_c_7_B_3_b_0_-_9_B_2_D	0.413
5zdi_A	_4_e_0_-_3_c_3_l_2_D_2_D	_1_c_1_E_6_c_0_-_3_D_5_B	0.486
1th0_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_4_g_1_b_1_c_4_b_2_G_2_G_4_D	0.460
1u0m_A	_7_i_4_e_0_-_3_c_3_l_0_-_2_D_0_-_2_D	_0_j_5_i_4_C_3_c_5_r_3_b_2_D_9_g_7_D	0.394
4aly_A	_0_b_7_i_4_e_3_c_3_l	_6_b_21_j_5_l_5_d_8_k	0.625
6ebq_A	_7_i_4_e_0_-_3_c_3_l_2_D	_20_g_1_c_2_G_1_e_3_h_3_E	0.438
1y0k_A	_4_e_3_c_3_l_0_-_2_D_2_D	_0_e_0_-_2_k_3_b_1_F_3_C	0.515
1s4b_P	_0_b_7_i_0_-_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_2_i_3_j_4_o_5_e_7_v_12_f_9_d_4_l_1_D_11_F	0.449
4fk9_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_0_b_11_i_0_-_1_c_6_C_10_m_6_C_10_j_6_F	0.584
1xrs_B	_0_b_0_-_7_i_4_e_3_c_3_l_0_-_2_D_0_-_2_D	_10_b_3_D_6_i_4_D_0_-_7_l_3_b_1_D_5_d_5_B	0.399
2p5x_A	_7_i_4_e_0_-_3_c_3_l_2_D	_4_i_1_c_1_b_5_c_0_-_1_D	0.587
2pln_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_3_k_4_B_2_e_0_-_14_j_6_C_4_h_4_C	0.430
1m7g_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_0_c_3_g_4_E_6_l_3_C_1_c_11_n_3_D_5_j_11_F	0.412
1eib_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_9_d_3_g_33_j_4_F_5_d_3_m_5_D_17_p_4_F	0.505
4ivi_A	_0_b_7_i_0_-_0_-_4_e_3_c_3_l_0_-_0_-_2_D_2_D	_13_b_32_g_6_A_2_A_3_d_7_b_2_A_9_B_4_B_14_C_5_D	0.370
4y1p_A	_7_i_0_-_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_7_k_3_F_0_i_1_b_2_C_1_l_2_b_1_D_4_D	0.437
1orr_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_5_j_3_C_6_e_1_d_5_j_4_F_0_c_7_B	0.520
1zoi_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_1_i_14_k_2_j_4_e_0_-_4_E_11_f_3_E	0.417
4lu3_A	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_6_c_6_J_4_f_2_b_6_C_4_c_0_-_7_E_10_E	0.434
3crm_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_6_j_2_E_17_e_2_A_12_m_3_E_2_g_5_G	0.389
3kzl_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_2_b_7_i_14_f_5_A_8_C_2_d_12_f_3_D_3_b_3_g_6_G	0.389
5x5t_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_5_c_5_g_5_F_0_l_0_-_19_l_3_C_14_C	0.517
2i39_C	_0_b_7_i_4_e_3_c_3_l	_2_b_4_i_2_k_3_f_6_m	0.588
3gee_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_5_j_3_j_1_i_1_f_17_s_1_E_6_f_3_D	0.415
2p0b_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l	_6_b_14_g_5_f_3_d_4_c_8_c_4_l	0.572
3zij_B	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_4_j_5_C_4_d_0_-_0_-_12_C_2_C	0.411
5ecc_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_10_h_3_D_0_f_0_-_0_-_6_D_11_C	0.406
3qze_B	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_12_k_3_C_6_b_2_l_5_C_5_k_4_D	0.451
1q9j_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_b_2_n_15_f_24_C_3_j_6_m_6_G_17_G	0.363
3si1_A	_7_i_4_e_3_c_0_-_3_l_2_D_2_D	_0_f_7_e_6_b_6_b_9_k_8_E_8_E	0.614
4wjk_A	_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_1_e_14_A_5_b_0_-_8_C_8_E_8_D	0.445
2f4l_A	_7_i_4_e_3_c_3_l_2_D_2_D	_2_n_3_c_2_c_0_-_1_E_5_G	0.400
4g26_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_2_b_2_j_3_C_5_j_2_B_7_e_3_h_0_F_3_D	0.480
2bju_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_1_b_0_-_2_c_4_C_3_b_7_f_7_D_8_D	0.535
5lxq_B	_7_i_0_-_4_e_3_c_3_l_2_D	_6_j_1_E_7_e_3_C_10_m_4_E	0.408
2de6_A	_0_b_7_i_4_e_3_c_3_l	_3_i_14_h_1_d_3_c_4_l	0.694
1kwg_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D	_4_c_9_j_4_D_7_e_1_b_22_m_5_D	0.655
1rh6_A	_4_e_3_c_3_l_2_D_2_D	_1_e_7_h_3_A_3_B_2_D	0.387
1v4w_A	_0_b_7_i_4_e_3_c_3_l	_1_e_11_n_4_c_1_d_10_m	0.493
7e6h_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_4_a_5_h_8_E_5_j_9_h_1_D_5_l_7_E_3_k_6_F	0.406
7ubq_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_4_b_1_D_5_i_3_C_0_-_2_k_5_C_5_i_2_D	0.438
4kms_B	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_9_b_0_-_2_f_0_-_6_l_2_E_6_o_4_G	0.506
1itx_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_21_j_4_F_7_d_0_-_2_m_3_D_17_p_4_E	0.502
4izb_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_2_b_5_k_7_E_10_f_0_-_3_n_4_C_3_B	0.567
5c55_B	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_15_k_5_B_2_b_1_b_2_l_5_C_5_k_3_C	0.469
1i8o_A	_0_b_7_i_4_e_0_-_3_c_3_l	_0_j_32_g_6_h_1_j_3_b_13_j	0.384
5xmc_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_1_c_11_l_1_G_5_j_2_c_1_E_3_l_3_b_2_B_5_B	0.390
6k55_B	_0_b_7_i_0_-_0_-_4_e_3_c_3_l_2_D_0_-_0_-_0_-_2_D	_22_c_6_f_2_b_3_E_4_e_4_c_2_l_5_E_3_c_2_l_4_b_3_C	0.387
5aa7_A	_7_i_4_e_3_c_0_-_3_l_2_D_2_D	_3_e_8_d_1_b_1_B_10_f_8_B_3_F	0.426
7ndj_B	_7_i_0_-_4_e_3_c_3_l_0_-_2_D_2_D	_2_j_3_B_5_e_0_-_1_i_0_A_2_B_2_B	0.418
4awx_B	_7_i_4_e_3_c_3_l_2_D_2_D	_0_j_4_f_0_-_4_k_2_D_2_D	0.711
3c3m_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l	_2_b_2_D_2_i_4_C_5_i_17_e_13_k	0.456
5o5j_D	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_8_d_16_l_3_k_4_i_2_f_6_h_3_B_2_A_11_D	0.371
2wbl_B	_0_b_7_i_4_e_3_c_3_l	_6_d_1_g_5_e_6_m_4_m	0.530
2aa1_B	_0_b_0_-_7_i_4_e_3_c_0_-_3_l	_1_b_5_e_1_j_2_d_4_i_10_o_2_n	0.375
4zrn_A	_0_b_0_-_7_i_0_-_4_e_3_c_0_-_0_-_3_l_2_D_2_D	_7_b_5_B_6_j_3_C_6_e_1_d_6_i_4_F_24_n_2_F_1_B	0.446
2onk_A	_7_i_0_-_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_6_h_6_E_2_A_25_e_7_k_11_b_2_k_6_C_7_m_3_D	0.378
4ib2_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_5_b_5_D_2_k_4_A_4_b_2_b_0_-_0_B_5_D	0.469
2c46_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_b_25_C_5_e_2_b_3_j_2_F_10_c_4_C	0.480
1chd_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_11_j_0_-_1_b_0_-_0_D_8_h_3_D	0.458
8ruc_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_0_c_11_H_5_i_10_d_2_c_0_-_2_F_7_F	0.618
1xea_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_1_b_2_e_1_d_7_F_7_c_5_f_10_D_8_F_2_D	0.542
1ofd_A	_0_b_0_-_7_i_4_e_0_-_0_-_3_c_3_l_2_D_0_-_2_D	_9_b_6_D_4_k_7_f_9_k_4_g_8_b_3_i_10_E_3_E_8_D	0.367
2pyw_B	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_0_e_7_k_8_p_3_b_13_f_3_l_3_B_5_b_0_B	0.409
1mpp_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_1_b_11_C_3_b_1_e_6_f_0_-_7_D_6_E	0.530
4z5p_A	_0_b_7_i_4_e_3_c_3_l_2_D	_15_b_4_h_0_-_5_d_2_m_3_A	0.567
1p2x_A	_0_b_7_i_0_-_4_e_3_c_3_l	_6_f_4_i_17_k_4_b_3_c_5_l	0.514
6uct_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_5_b_2_m_2_g_5_g_7_e_0_-_2_G_2_H_5_C	0.447
2p3v_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_7_b_1_C_6_g_5_B_4_i_4_C_4_k_3_B_13_C	0.394
1yoa_A	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_3_h_1_E_5_e_6_A_2_A_0_-_2_D_6_B	0.364
5xit_D	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_6_j_0_-_3_b_0_-_0_D_2_A_16_E	0.430
1r7h_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_4_j_5_C_4_h_0_-_0_-_7_C_2_C	0.366
5efr_A	_0_b_7_i_4_e_0_-_0_-_0_-_3_c_3_l_0_-_2_D_2_D	_6_g_9_h_7_e_7_G_4_H_5_G_6_d_12_k_4_e_2_D_4_F	0.373
1wu7_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_0_-_2_D_2_D	_4_c_5_h_6_i_4_c_2_d_15_c_2_g_6_A_13_F_9_C	0.452
5tvg_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_1_b_2_f_6_C_7_c_5_g_4_C_2_k_3_C_3_C	0.497
2hwv_A	_7_i_4_e_3_c_3_l_2_D_2_D	_2_j_7_c_6_b_3_l_9_C_3_C	0.799
6cty_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_5_b_8_j_5_B_8_c_12_j_3_d_5_e_7_D_3_A_4_B	0.482
3dbh_B	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_11_b_8_d_5_f_5_b_14_m_7_h_6_n_8_D_5_D	0.490
4s1n_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_5_h_2_E_6_g_3_B_2_b_3_k_4_C_7_c_6_D	0.432
2j0v_A	_0_b_0_-_7_i_4_e_0_-_3_c_0_-_3_l_2_D	_11_b_4_F_3_e_5_f_5_E_1_c_2_d_7_j_3_C	0.399
4l9m_A	_7_i_4_e_0_-_0_-_3_c_0_-_3_l_2_D_2_D	_8_i_6_j_18_n_7_A_0_h_15_A_1_l_10_C_21_C	0.402
6fea_A	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_7_b_4_D_2_d_14_c_2_A_4_e_2_k_5_E_1_d_4_j_4_D	0.390
1t90_A	_7_i_0_-_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_7_j_3_D_6_j_7_B_4_h_3_F_2_k_3_D_4_D	0.386
2fun_B	_4_e_3_c_3_l_2_D_0_-_2_D	_4_d_2_c_7_k_3_A_7_k_8_E	0.541
1un8_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D	_6_b_7_F_5_j_5_E_0_-_2_l_4_E	0.446
2bgw_A	_7_i_4_e_0_-_3_c_3_l_2_D	_0_i_1_j_2_F_5_b_3_k_3_D	0.525
5thm_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_8_d_15_g_6_i_5_F_5_e_14_c_11_n_19_E_2_E	0.593
4lej_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_9_c_2_g_3_d_10_B_7_A_0_c_0_-_3_B_2_E	0.543
1nm8_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_10_k_9_e_2_j_3_j_3_D_10_j_16_E	0.481
5grh_B	_7_i_4_e_3_c_0_-_3_l_2_D_2_D	_0_i_0_-_1_b_2_C_3_k_6_D_4_D	0.641
5b7g_B	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_5_b_0_-_3_b_1_A_1_c_0_-_1_B_2_B	0.376
1fx4_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_1_j_5_C_0_c_4_d_0_-_3_F_8_E	0.570
2aj6_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_8_g_0_-_2_d_0_-_3_G_2_H_7_F	0.352
1g4i_A	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_j_5_c_18_m_1_d_4_b_4_C_2_C	0.524
2hjr_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_0_e_5_j_1_h_0_-_6_l_4_I_1_b_1_J_2_D	0.411
1nrf_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_27_f_2_j_1_i_23_k_6_j_0_D_2_J	0.412
1knv_A	_0_b_0_-_7_i_4_e_3_c_0_-_3_l_2_D_0_-_0_-_2_D	_1_b_2_c_7_g_1_d_5_b_0_G_4_q_7_E_5_e_5_b_13_C	0.382
1tff_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_3_g_2_o_1_f_5_g_8_j_3_D_13_E	0.512
3b8o_A	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_7_i_8_e_5_h_2_c_5_h_4_C_10_E	0.610
2reo_A	_0_b_0_-_7_i_4_e_3_c_3_l	_0_e_1_j_5_i_2_d_29_c_3_k	0.568
3wkx_A	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_0_-_2_D_0_-_2_D	_12_b_16_m_3_h_6_b_14_A_1_d_20_h_1_c_1_C_0_b_1_C	0.375
4ayb_B	_0_b_0_-_0_-_7_i_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_3_b_17_D_3_A_5_i_3_A_0_e_11_C_2_D_3_k_7_D_6_D	0.418
3cnl_A	_0_b_7_i_4_e_3_c_3_l	_5_b_3_l_5_j_5_b_3_k	0.510
1yvu_A	_7_i_0_-_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_5_i_7_E_2_j_4_C_0_e_2_l_6_A_8_D_1_B	0.464
4ys8_A	_0_b_0_-_0_-_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_8_b_1_A_2_A_0_i_4_F_9_c_0_-_5_B_6_l_6_C_9_j_5_F	0.402
1z2i_A	_7_i_4_e_3_c_3_l_2_D_2_D	_1_k_4_l_3_b_1_k_9_C_4_D	0.578
2z7f_E	_4_e_3_c_3_l_2_D_0_-_2_D	_1_c_4_b_0_-_1_C_12_I_12_D	0.471
4cr4_U	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_1_k_4_F_8_g_0_-_0_-_8_D_10_D	0.385
1gec_E	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_7_f_11_j_0_-_18_c_0_-_8_C_5_g_4_D	0.479
1tah_B	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_b_0_F_7_j_7_k_7_h_3_i_17_C_2_G_4_F	0.388
1x2i_A	_0_b_7_i_4_e_3_c_3_l	_0_h_7_j_2_e_2_c_7_j	0.672
5e58_D	_4_e_3_c_0_-_3_l_2_D_0_-_0_-_0_-_2_D	_1_d_13_c_18_b_4_m_0_C_4_b_6_A_3_A_5_D	0.395
1e2s_P	_0_b_0_-_0_-_0_-_7_i_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_8_b_7_g_2_B_2_A_5_i_28_e_4_E_7_b_3_c_0_-_3_C_13_B	0.373
4xgi_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_2_b_2_m_5_A_8_l_4_b_5_b_3_o_8_D_3_j_3_F	0.352
2dm9_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_2_h_1_f_0_-_0_-_4_C_8_E_5_D	0.415
6dub_A	_0_b_0_-_7_i_4_e_0_-_3_c_0_-_0_-_3_l_0_-_2_D_2_D	_5_a_10_E_2_i_1_e_0_E_2_b_7_F_2_b_2_k_1_K_3_C_4_D	0.393
5iko_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_9_f_3_i_4_f_0_-_9_l_4_E_7_D	0.702
1pv8_A	_7_i_0_-_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_4_j_7_B_3_A_3_g_0_-_7_k_4_D_2_k_5_D	0.420
2i7p_B	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_0_k_8_D_3_h_5_C_2_l_4_D_8_C	0.438
1hkq_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_g_3_j_9_b_0_D_0_f_4_l_3_D_2_E	0.558
3shw_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_9_g_4_C_3_h_5_E_3_j_7_m_2_C_6_k_3_D	0.353
1jt6_B	_0_b_7_i_4_e_3_c_3_l	_2_b_3_j_6_j_6_q_8_m	0.458
4x2r_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_0_c_6_i_3_D_5_h_4_C_1_d_1_k_0_G_2_A_6_i_5_D	0.413
2f71_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_j_2_j_11_e_9_b_0_-_0_B_7_H_4_E	0.505
3llq_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l	_16_b_6_p_8_n_5_j_1_e_0_-_2_n	0.375
2a7r_D	_0_b_0_-_0_-_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_9_b_4_C_6_H_8_i_1_D_5_i_2_b_2_D_3_k_5_D_6_k_4_F	0.364
2l7b_A	_0_b_7_i_4_e_3_c_3_l	_0_b_4_h_3_l_6_d_4_p	0.470
3ue9_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_0_-_0_-_2_D_0_-_2_D	_5_b_0_C_3_A_2_j_3_h_6_d_1_m_12_h_2_f_0_A_1_i_4_C	0.353
1s4m_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_3_c_10_g_5_C_1_c_4_g_0_-_5_D_6_b_3_e_3_D	0.412
6qai_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_c_5_j_4_C_0_-_9_k_2_D_10_k_2_D	0.484
3tr5_B	_0_b_0_-_0_-_7_i_0_-_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_9_c_10_B_2_E_9_h_2_A_2_A_6_d_3_c_5_B_7_j_3_C_1_C	0.377
1lkx_A	_0_b_7_i_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_3_c_10_f_4_f_5_b_1_d_10_k_4_m_4_C_4_C	0.540
4g1u_C	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_5_f_0_C_11_h_7_j_10_b_2_l_8_D_8_m_2_E	0.492
5uxm_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_c_11_j_0_-_0_-_7_l_4_E_10_o_3_E	0.530
3csb_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_5_e_8_i_4_A_2_f_3_j_2_A_6_l_5_k_13_C_4_C	0.439
1pvt_A	_0_b_7_i_0_-_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_8_c_2_d_6_D_2_d_3_b_9_e_5_B_7_i_5_C_4_D	0.375
1rvg_B	_0_b_7_i_0_-_4_e_3_c_0_-_3_l	_6_b_9_i_4_B_7_h_12_i_1_E_1_m	0.399
5lha_D	_0_b_0_-_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_1_b_7_E_0_g_0_-_3_c_11_l_2_o_3_F_2_H	0.492
1dlw_A	_0_b_7_i_4_e_0_-_3_c_3_l	_0_c_3_l_5_c_4_l_11_d_6_m	0.454
1e3h_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_2_c_10_m_10_H_7_d_2_c_0_-_8_B_2_E	0.471
4h6j_A	_7_i_4_e_3_c_3_l_2_D_2_D	_2_e_3_c_4_b_6_k_1_B_3_C	0.607
5x2m_D	_0_b_0_-_7_i_4_e_0_-_3_c_0_-_3_l_0_-_2_D_2_D	_7_c_7_E_7_k_7_d_2_b_1_c_1_c_2_m_17_g_3_C_2_D	0.452
3la6_A	_4_e_3_c_3_l_2_D_0_-_2_D	_2_d_8_c_4_l_7_E_6_k_5_D	0.706
6fos_F	_0_b_7_i_4_e_3_c_3_l	_16_b_9_n_7_d_4_h_4_l	0.535
1hgg_A	_4_e_3_c_0_-_0_-_3_l_0_-_2_D_2_D	_5_e_2_e_6_C_10_A_3_j_4_B_7_D_1_E	0.392
5bmt_A	_4_e_3_c_3_l_0_-_2_D_2_D	_1_c_2_e_0_-_4_J_6_E_3_C	0.398
6dqq_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_13_j_1_b_6_c_5_d_5_b_2_D_2_E	0.590
4eun_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_6_j_2_C_0_c_2_g_6_n_4_D_4_f_7_E	0.484
4bbq_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_1_b_10_b_21_c_2_b_0_-_2_B_5_A	0.380
1i3j_A	_0_b_7_i_0_-_0_-_4_e_3_c_3_l_2_D	_0_b_9_j_10_B_2_B_2_g_3_h_0_-_5_B	0.380
4qfi_A	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_i_9_i_9_D_3_g_0_-_3_C_3_C	0.463
