3cwb_F	_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_3_b_5_h_2_n_5_b_0_-_3_b_5_m	0.576
3rqc_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b	_0_l_0_-_2_E_4_i_8_l_0_-_1_b_1_A_15_E_4_E_2_b_0_-_2_l_6_b	0.457
2dir_A	_4_F_2_H_0_l_0_-_11_G_5_F	_6_F_0_-_8_l_4_A_6_G_2_G	0.657
5cmo_A	_0_G_4_F_0_-_2_H_0_l_11_G	_13_D_5_D_1_i_3_H_0_-_2_I	0.393
1i0z_A	_0_G_0_-_4_F_2_H_0_l_11_G_0_-_5_F_9_c_0_-_4_n_12_A_0_-_5_b_0_B_0_-_0_-_5_B_6_A_9_b_0_-_0_-_2_d_8_n	_14_D_3_j_5_D_0_-_3_k_0_-_1_b_4_C_3_c_4_C_11_o_4_C_4_j_3_b_0_B_3_l_3_b_4_B_6_A_1_b_1_A_2_A_0_c_13_m	0.356
2mti_A	_0_G_4_F_2_H_0_l_11_G_5_F	_6_G_4_C_20_E_0_-_2_E_4_G	0.439
1thx_A	_4_F_0_-_2_H_0_l_11_G_0_-_0_-_5_F_9_c_4_n	_0_B_2_c_10_E_6_k_5_E_4_e_7_E_2_F_0_-_4_k	0.386
5y86_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n_0_-_3_b_13_c_0_-_0_-_0_-_0_-_5_c_21_k_4_b_6_g	_3_I_2_G_4_G_3_n_10_F_2_E_6_f_7_n_2_A_5_b_0_A_8_A_2_b_1_A_10_b_2_d_6_l_9_j_4_d_4_b_10_C_5_C_1_A_5_A_7_c_6_i_4_b_3_d	0.562
3vse_A	_0_G_4_F_2_H_0_l_0_-_11_G_0_-_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k_4_b_0_-_6_g	_5_I_2_F_0_-_8_k_2_d_5_E_0_c_4_E_2_E_2_c_2_j_4_E_0_-_8_E_6_D_2_D_0_-_0_-_11_k_5_D_0_-_5_e_5_E_4_j_4_b_1_C_2_i	0.377
3ged_B	_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_0_-_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b	_0_D_0_-_4_j_3_E_2_g_5_D_0_-_5_l_4_C_8_b_3_g_5_g_1_f_2_D_0_-_2_b_0_-_7_o_4_F_0_-_9_d_9_j_8_C_3_b	0.355
2lca_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B	_18_j_0_-_5_E_0_-_9_m_0_-_4_b_0_F_10_f_2_C	0.399
7laj_A	_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_0_d_6_c_0_-_5_b_13_c_6_h_6_m	0.520
2yci_X	_0_G_0_-_0_-_4_F_2_H_0_l_11_G_0_-_5_F_9_c_0_-_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_G_3_g_4_j_4_D_0_-_7_l_4_C_3_i_5_D_3_k_2_D_10_m_0_-_4_b_0_C_10_k_8_D_0_-_0_-_0_d_5_l_3_C_0_-_0_-_4_k_0_-_9_g	0.378
3bec_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A	_5_H_3_I_2_I_2_m_0_F_6_E_0_-_0_-_5_D_4_E_2_c_1_E_0_-_4_A	0.412
2r47_A	_0_G_0_-_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B	_5_E_5_h_4_E_3_b_1_E_0_-_2_F_4_F_0_c_7_j_0_J_2_c_2_c_4_D	0.413
2iv2_X	_2_H_0_l_11_G_5_F_0_-_9_c_0_-_0_-_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n_3_b_0_-_13_c_0_-_0_-_5_c_0_-_21_k_4_b_0_-_6_g	_0_E_0_-_8_F_2_F_11_d_2_c_12_A_8_A_2_n_0_-_1_b_0_C_0_-_7_h_10_A_0_-_13_d_0_-_8_e_2_D_3_c_1_j_3_D_5_c_3_B_6_k_5_f_0_A_1_h	0.407
5lu0_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d_8_n	_1_F_1_b_2_E_2_F_4_k_5_I_9_H_3_d_11_k_4_F_8_h_2_D_0_-_0_-_2_i_3_J_8_e_2_i	0.373
6kdy_D	_0_G_4_F_0_-_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_4_F_12_F_3_c_1_E_2_D_4_m_0_-_3_E_0_-_5_l_5_E_0_i_1_b_2_C_6_g_8_D_4_D_17_k_0_-_3_m_5_b_0_-_0_-_5_m	0.403
2cvo_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_B_0_-_5_B_6_A_9_b_2_d_0_-_0_-_0_-_8_n_0_-_3_b_13_c_5_c_0_-_21_k	_0_E_4_i_0_-_5_F_8_c_1_b_0_-_10_b_2_b_2_B_5_f_6_C_0_-_9_g_6_c_3_A_2_i_2_B_3_l_9_F_0_c_5_b_1_c_4_A_7_k	0.352
3d11_A	_0_G_0_-_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_0_-_9_b_2_d_8_n_3_b_13_c	_2_I_6_K_5_H_7_H_0_-_2_G_5_c_7_F_7_c_0_-_0_C_0_-_4_A_5_C_5_B_2_J_0_b_0_-_0_-_4_b_12_c	0.478
3txy_A	_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_5_B_6_A_9_b_0_-_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_E_3_c_8_m_4_E_24_c_3_b_6_D_10_f_4_F_0_-_6_h_3_J_2_e_0_-_0_-_5_c_0_-_1_B_0_-_1_i	0.352
2o01_D	_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_B_0_-_8_B_2_C_8_A_0_-_5_g	0.443
3pgg_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_4_E_4_H_0_-_5_J_4_F_0_-_0_-_2_B_1_b_0_E	0.473
3r5l_A	_4_F_2_H_0_-_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_E_6_J_2_D_4_b_4_e_2_E_2_H_0_-_2_j_0_-_9_b_5_E	0.386
1r4a_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n	_0_E_6_f_14_F_4_F_3_i_0_-_5_F_0_-_6_k_0_-_1_b_3_F_0_-_0_-_9_g_1_b_5_D_8_l	0.363
2rdm_A	_4_F_2_H_0_l_11_G_5_F_9_c_0_-_4_n_12_A_5_b_0_B	_0_D_0_-_3_k_0_-_3_D_2_d_9_D_8_j_4_D_6_c_5_C	0.406
3s55_B	_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_0_D_0_-_4_k_2_E_14_j_5_D_0_-_5_l_4_C_14_g_5_l_2_E_0_-_0_-_0_-_2_c_6_p_1_G_10_e_4_h_11_j_1_b_6_C_3_c	0.350
6n9k_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_0_-_0_-_9_c_4_n_12_A_0_-_5_b_0_-_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_3_G_2_J_4_A_5_B_1_m_0_-_0_-_9_b_7_b_4_e_16_i_9_A_3_j_1_b_3_d_18_e_3_B_2_B_0_-_0_-_7_c_3_A_0_-_1_c_2_d_0_-_1_b_3_i	0.378
3qll_A	_0_G_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_0_-_6_A_9_b_2_d	_2_E_6_D_6_j_3_C_6_j_6_C_5_h_5_E_2_d_0_-_0_-_1_d_5_E_13_l_5_B_8_k_3_C_2_i_4_d	0.351
6aq3_B	_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b	_0_o_3_q_10_e_6_d_4_B_7_E_0_-_3_b_6_d_7_j_2_H_1_b	0.406
6evs_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d	_0_D_0_-_5_l_0_-_3_B_1_b_10_m_2_D_7_j_4_C_8_c_4_B_0_-_0_-_2_e	0.414
1yrz_A	_0_G_4_F_0_-_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_2_G_7_F_7_A_6_A_9_I_0_-_5_G_12_H_0_-_5_B_9_A_0_-_15_A_11_B_8_A	0.403
3ezm_A	_0_G_4_F_2_H_0_l_0_-_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_F_2_F_5_F_0_b_1_C_2_C_8_F_3_F_0_-_0_-_5_F_0_b_1_C_2_D	0.429
2qx0_A	_0_G_0_-_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_-_0_B	_0_H_5_j_4_B_5_B_10_I_3_m_12_F_4_A_0_-_0_-_4_A_4_b_1_i_11_f_6_B	0.439
3lmf_A	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_n_3_d_1_c_1_d_2_i_7_o_4_k	0.552
6z2g_A	_2_d_8_n_3_b_13_c_5_c_21_k	_0_e_4_j_0_-_12_c_4_j_3_k	0.449
3ahq_A	_5_F_9_c_4_n_12_A_5_b_0_-_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_0_C_12_d_7_l_8_C_0_b_9_j_13_n_1_D_4_C_0_-_2_g_1_c_2_o_0_-_1_d_0_-_12_m	0.395
2ery_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_G_5_i_12_H_2_H_4_h_0_-_2_F_3_d_1_j_6_E_11_i_3_C	0.465
8i1b_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_8_G_4_G_2_G_12_b_0_F_2_E_0_-_6_C_5_A_0_-_1_B_9_E	0.414
2p8r_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b	_7_G_3_B_4_A_14_H_8_k_9_G_2_H_1_h_0_-_0_-_12_b_0_H_5_D_10_b_8_B_8_b	0.486
1tz9_A	_0_G_0_-_4_F_2_H_0_-_0_l_11_G_5_F_9_c_0_-_0_-_4_n_0_-_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d	_7_C_12_k_3_D_0_-_6_d_4_m_19_D_5_E_0_d_7_b_3_j_6_o_23_i_9_A_2_c_12_b_3_B_2_B_4_C_4_b_8_d	0.432
4wrd_A	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_G_4_E_2_F_2_A_8_k_3_C_12_F_0_-_0_-_2_A_0_f_4_A_0_-_0_-_10_k_3_c	0.412
3clv_A	_0_G_4_F_0_-_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n	_13_G_10_G_3_b_4_d_4_F_3_m_3_F_9_i_3_D_0_-_7_m	0.452
6r7p_A	_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_3_l_4_j_3_i_11_E_2_e_1_j_12_E_5_b_2_C_2_C	0.412
3ik5_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b	_9_k_26_D_15_D_1_c_3_d_0_-_1_b	0.435
2p1b_A	_0_G_4_F_2_H_0_l_11_G_5_F	_5_H_8_G_5_I_0_-_5_H_3_F	0.625
3hfd_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n	_2_G_0_-_4_G_0_-_9_G_3_E_27_c_8_m	0.531
6wu9_0	_0_G_0_-_4_F_2_H_0_l_11_G	_0_E_8_i_7_D_0_-_2_k_0_E	0.481
1urz_A	_0_G_4_F_0_-_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_B_0_-_5_B_6_A	_1_G_3_D_5_D_1_b_1_I_3_b_0_E_3_D_0_d_0_-_5_A_9_b_1_F_2_E_4_f_7_B_2_B	0.399
3gnu_P	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_2_G_2_L_2_K_0_-_7_G_2_D_4_b_0_-_0_A_0_-_2_G_5_D_9_B_0_b_2_h	0.352
1sm2_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d_8_n_3_b_13_c_5_c_21_k	_0_G_6_E_3_F_7_k_8_D_6_D_6_e_7_n_0_-_9_b_0_B_0_-_0_-_1_b_1_B_10_c_6_l_11_i_11_i_4_b_3_l	0.597
7li0_A	_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_E_3_l_2_E_2_k_4_D_1_h_0_-_3_A_4_e_2_b_7_J_0_-_0_-_6_b_4_c_0_-_1_b_3_A_0_-_6_k_1_k_9_i	0.396
3d6w_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_D_4_D_0_b_2_C_0_-_2_D_4_C_3_f_5_D_2_C_0_b_3_A_6_B_6_B_0_-_4_g	0.362
4kd5_B	_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_0_-_5_B_0_-_6_A_9_b_0_-_2_d_0_-_8_n_3_b_13_c_5_c	_0_G_7_h_3_G_1_h_6_B_7_c_0_-_9_C_2_E_8_b_6_C_5_j_5_c_1_C_2_i_4_D_0_b_6_E_2_b_4_F_5_j_0_-_1_c_3_b	0.357
3n4x_B	_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n	_3_A_0_-_4_E_3_E_3_B_8_i_2_c_2_B_1_l	0.446
5ifk_C	_0_G_0_-_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_7_C_0_b_5_F_2_F_4_b_3_j_6_I_9_H_0_c_26_k_5_G_8_i_3_B	0.382
6n3r_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b	_5_I_8_F_8_G_0_-_2_G_0_-_0_-_0_-_2_A_0_-_3_C_9_G_2_E_2_F_4_b	0.379
1nsq_A	_5_F_9_c_4_n_12_A_0_-_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_1_E_1_d_3_j_2_D_6_f_1_b_5_g_4_F_0_-_0_-_0_-_3_h_0_-_4_b_5_d_3_b_7_j_2_b_8_b	0.412
1i7p_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_0_-_0_-_21_k_0_-_4_b_6_g	_0_J_2_F_14_G_0_-_2_F_10_F_14_f_0_-_6_G_0_-_2_D_2_C_8_C_0_-_2_F_0_l_6_I_0_b_3_i_1_b_0_H_7_A_4_f_7_E_2_a_6_f	0.380
5zcj_B	_4_F_2_H_0_l_11_G_5_F_9_c_0_-_4_n	_0_E_6_I_1_j_0_-_8_E_12_d_5_k_5_n	0.536
3re9_A	_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B	_9_n_3_F_0_b_1_G_2_e_0_-_1_B_0_-_12_E_9_f_5_D	0.373
1a81_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_0_-_4_n_12_A_5_b_0_B_0_-_5_B_0_-_0_-_6_A_9_b_2_d	_6_E_7_F_2_H_0_-_0_-_5_B_8_g_12_A_14_l_4_o_2_b_3_C_2_h_8_D_6_F_2_H_5_A_0_-_9_g	0.357
3euk_L	_9_c_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_0_-_4_b_6_g	_0_f_5_j_5_j_0_-_1_f_5_B_9_B_0_-_0_-_0_-_12_k_5_b_0_-_6_g_4_k_3_B_2_B_1_b_15_g	0.372
6z69_B	_0_G_4_F_0_-_2_H_0_-_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k_0_-_4_b	_5_H_6_F_12_j_3_E_5_b_6_l_1_c_1_H_0_-_0_-_1_l_0_-_3_b_2_D_0_-_0_-_11_f_2_c_7_j_13_b_0_-_2_c_5_E_5_k_4_E_6_c	0.481
1xkp_C	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n	_11_C_0_-_0_-_3_F_2_F_3_b_0_-_0_A_0_-_2_A_1_k_6_C_5_G_0_b_2_g_2_j	0.352
2d88_A	_3_b_13_c_5_c_21_k_4_b_6_g	_0_h_13_c_2_i_14_j_0_-_12_e	0.395
4cou_A	_0_G_4_F_0_-_0_-_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_0_-_6_A	_2_G_5_B_9_A_3_b_5_A_3_H_0_-_5_I_1_E_0_-_0_-_5_A_3_c_8_C_8_E_4_I_4_H_13_B	0.353
6bpf_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c_0_-_21_k_0_-_4_b	_0_k_2_G_4_D_5_A_1_l_0_-_3_d_1_B_0_-_0_-_2_b_7_c_3_B_0_i_3_j_2_i_13_b_9_A_1_j_6_j_8_c	0.370
5fna_A	_13_c_5_c_21_k_4_b_6_g	_0_e_2_e_2_k_5_h_4_i	0.640
4pev_A	_0_G_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_0_-_9_b_2_d_8_n_3_b_13_c	_4_D_10_E_2_o_4_E_3_n_7_B_6_h_5_F_1_d_2_g_5_E_3_b_4_F_1_k_6_D_6_B_2_j_10_f_2_d_2_l_10_j_3_c	0.383
7eb6_A	_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B	_0_F_6_i_11_H_0_-_2_H_6_e_2_F_0_-_3_l_9_E_13_i_4_D	0.464
4ann_A	_4_F_2_H_0_-_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_D_0_-_0_b_2_j_8_D_3_E_6_A_0_e_2_n_2_A_4_b_0_B_5_B_3_A_0_-_0_-_10_l_0_-_5_e_2_b_4_g_0_-_3_i	0.495
2oz1_F	_9_b_2_d_8_n_3_b_13_c_0_-_5_c_21_k	_0_b_19_h_0_-_6_b_22_c_2_h_1_c_36_j	0.631
1sez_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_D_0_-_3_j_4_D_11_C_0_-_0_-_2_C_9_h_3_b_0_A_7_C_4_B_4_e_5_d_0_-_3_c_5_h_1_b_5_g_3_b_6_h	0.431
3msw_A	_0_G_4_F_2_H_0_l_11_G_5_F	_4_I_4_K_2_I_0_-_4_J_5_F	0.443
2b7f_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_0_-_5_b_0_B_5_B_6_A_9_b_2_d	_0_F_6_F_7_B_0_b_6_B_2_B_0_-_0_-_2_B_3_C_3_C_0_-_7_B_3_B_6_A_0_-_1_e	0.353
6gmf_A	_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_d_1_j_0_-_0_-_2_C_5_B_2_h_4_A_0_-_0_f_0_-_14_b_4_h_5_e_1_k_6_B_7_i	0.352
4cjm_B	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_G_5_C_4_D_4_b_1_D_5_E_0_-_5_C_5_C_5_b_1_D_5_D_0_-_18_b_5_b	0.410
2d9j_A	_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_f_3_e_1_k_4_k_5_j_13_j_8_k_1_e_2_f	0.367
4pio_B	_4_F_2_H_0_l_11_G_5_F_9_c_0_-_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_0_-_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_0_B_0_-_3_l_0_-_0_-_8_c_2_i_7_n_3_D_7_i_5_E_2_k_4_A_1_B_6_b_6_D_3_c_2_k_5_G_0_-_3_f_6_m_5_b	0.375
1tkj_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_0_-_2_d_8_n	_2_H_2_H_4_J_15_k_6_G_0_-_2_b_2_h_0_-_2_c_2_F_10_A_4_k_4_A_9_e_4_D_8_f_23_n	0.486
4xjw_A	_0_G_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A	_5_G_10_G_10_C_27_H_0_-_6_G_15_C_2_G_0_-_0_-_7_B_1_b_0_C_4_F_4_C_2_A	0.462
6w78_A	_0_G_0_-_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_0_-_3_b_0_-_13_c_0_-_0_-_5_c_21_k_4_b	_5_F_1_A_5_d_5_F_2_B_4_b_5_B_4_C_3_d_5_B_4_A_5_d_5_B_11_d_4_B_6_A_2_b_0_-_8_B_4_A_3_b_9_B_11_d_4_B_6_B_6_b_0_-_2_b	0.367
2oh5_A	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_0_-_6_A_9_b_2_d_8_n_3_b	_4_H_5_H_1_E_1_c_10_j_17_E_3_J_9_b_0_-_0_-_7_b_1_D_2_I_8_G_13_i_1_F_0_-_2_c_0_-_5_b	0.372
2eht_A	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_k_3_b_0_-_0_-_14_l_5_c_5_h	0.456
3d3r_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n	_0_F_4_E_0_-_2_E_11_A_0_-_11_n	0.461
1vhs_A	_4_F_2_H_0_l_0_-_0_-_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_-_0_B	_0_C_0_-_2_l_12_b_12_D_5_H_4_b_2_G_1_b_4_l_6_B_3_h_3_I_5_F	0.363
5zg9_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n	_0_A_5_C_4_G_0_-_2_J_2_J_0_-_0_n	0.412
1afj_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A	_0_E_9_j_2_F_4_E_0_-_6_j_4_A	0.511
3c8m_A	_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_0_-_5_B_0_-_0_-_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c_21_k_4_b	_0_F_0_-_3_l_5_G_4_B_5_h_3_b_0_-_3_A_2_e_4_C_8_j_3_C_3_e_5_d_3_A_1_b_7_f_7_D_2_j_4_j_7_c_0_-_2_l_5_b	0.452
4psr_B	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_4_D_11_C_12_E_16_k_0_-_2_F_0_-_9_n_10_A_0_-_20_D_5_E_7_C_0_b_1_b	0.479
4hz9_B	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_k_7_b_0_-_1_d_3_j_4_b_11_e	0.532
1yzq_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_B	_0_E_5_i_12_H_4_H_3_j_0_-_4_F_3_d_1_j_4_F_4_b_4_i_3_C	0.487
1b8a_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_0_-_8_n_3_b_13_c_0_-_5_c_21_k_0_-_4_b	_3_K_2_G_2_G_5_h_5_I_7_J_17_e_1_c_3_p_3_A_0_-_5_A_11_C_2_D_0_-_4_h_4_H_12_I_4_o_0_-_1_e_13_B_0_i_12_l_3_D_3_b	0.364
6k2y_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_0_-_9_b	_7_G_8_F_8_G_0_-_2_D_2_A_0_-_0_-_2_A_0_-_3_D_8_F_3_E_2_F_4_b	0.366
5djw_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_0_-_3_b_13_c_5_c_21_k_4_b_6_g	_26_A_5_F_6_A_0_-_0_-_15_F_3_j_7_c_2_B_12_g_5_C_25_d_3_E_3_A_34_A_6_f_3_b_7_C_19_n_7_B_6_b_0_-_13_l_18_j_23_l_1_i	0.387
1n45_A	_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_1_h_1_f_5_q_6_b_0_-_2_c_2_j_3_b_5_l_1_g	0.461
2d4z_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_A_4_i_4_D_6_F_0_k_21_j_11_A_11_j_3_E_2_F	0.361
1l8b_B	_0_G_0_-_0_-_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_H_0_g_5_b_5_E_15_E_10_j_4_e_0_F_6_E_0_-_5_l_8_C_0_e_9_B	0.444
5w8o_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_0_-_0_-_2_d_0_-_8_n_3_b_13_c_5_c_21_k_0_-_4_b_0_-_6_g	_0_H_0_-_5_J_9_D_15_b_0_-_0_A_0_-_4_A_4_D_0_-_22_b_5_k_5_F_1_j_1_b_0_F_7_l_5_b_9_l_2_g_9_k_4_j_10_e_5_E_7_i	0.356
7u48_C	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c_0_-_21_k_0_-_4_b	_0_k_2_G_4_D_0_-_0_-_5_A_1_l_9_B_0_-_0_-_2_b_7_c_3_B_0_j_2_j_2_i_13_b_9_A_1_j_6_j_8_c	0.369
1h2v_Z	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_D_0_-_7_j_2_G_6_H_2_i_0_-_4_A_0_-_2_A_1_D	0.404
