2hv6_A	_0_i_3_d_2_f_4_o_9_b	_7_i_7_d_1_f_4_j_4_c	0.627
1c44_A	_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_0_p_2_G_2_b_2_F_5_C_0_-_7_E	0.423
1agi_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_i_9_i_9_D_3_g_0_-_0_-_4_C_3_C_3_G_10_G	0.453
7ewr_D	_4_o_9_b_1_C_5_D_3_J_3_I	_0_m_4_d_12_D_6_D_7_D_3_D	0.374
1lo6_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_I_0_-_2_C_0_-_0_-_1_b_5_C_12_I_13_D_24_E_13_G	0.376
4y4n_A	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_1_F_3_j_5_D_6_b_8_D_3_d_6_A_0_-_6_D_2_j_3_C_1_H_2_H	0.402
6zhk_A	_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_1_d_5_b_13_l_2_c_1_l_3_F_2_E	0.367
1zc6_A	_0_I_0_-_0_-_0_i_3_d_2_f_4_o_9_b_1_C	_3_E_5_C_12_j_10_i_13_d_2_f_4_o_0_-_7_C	0.567
1f3u_A	_3_d_0_-_2_f_0_-_4_o_9_b_1_C_5_D_3_J	_1_c_3_E_2_f_9_G_2_G_1_c_16_F_7_D_5_K	0.356
3wzt_D	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_3_F_8_i_2_c_4_h_7_k_0_-_7_C_2_B	0.539
1o59_A	_2_f_4_o_9_b_1_C_0_-_0_-_5_D_3_J_0_-_3_I	_1_g_9_A_3_b_3_C_7_d_12_A_10_B_5_H_10_F_16_G	0.384
1wyr_A	_0_i_3_d_2_f_4_o_9_b	_0_j_12_j_1_i_14_m_6_d	0.472
6if3_A	_0_i_3_d_2_f_4_o_9_b	_14_g_2_h_14_f_3_m_8_d	0.563
4q56_A	_9_b_1_C_5_D_3_J_0_-_3_I	_3_b_1_A_11_G_9_J_8_F_3_G	0.570
1iue_A	_0_I_0_i_0_-_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_2_G_4_f_17_E_2_A_8_d_0_-_2_B_0_b_1_A_3_C	0.351
2pva_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_E_15_B_1_j_0_-_3_g_0_-_0_-_2_C_12_E_5_F_2_E	0.396
4n53_C	_0_I_0_i_3_d_2_f_4_o_0_-_0_-_9_b_1_C_5_D_0_-_0_-_3_J_3_I	_7_E_0_-_7_c_1_e_4_B_2_F_8_F_9_b_4_E_5_E_8_A_5_d_3_E_12_I	0.357
7sa3_A	_0_i_3_d_2_f_4_o_9_b_1_C	_0_g_9_d_0_-_2_m_16_b_7_A	0.498
2b7l_A	_0_I_0_i_0_-_3_d_2_f_0_-_4_o_0_-_9_b_0_-_1_C	_0_E_6_j_3_F_1_e_8_h_6_D_2_i_4_C_1_b_4_b_4_C	0.384
1k30_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J	_3_E_6_h_4_e_1_D_0_d_0_-_4_d_2_D_12_n_4_C_22_k_3_H	0.399
3gzu_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_0_-_1_C	_1_F_2_j_9_e_11_D_27_l_11_j_8_b_9_j_7_C	0.362
3pgj_B	_0_i_0_-_3_d_2_f_0_-_4_o_0_-_9_b_1_C_0_-_5_D	_2_j_8_D_3_c_2_e_4_E_2_j_4_D_0_b_6_C_14_b_5_C	0.367
1bed_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_6_E_5_l_3_j_9_h_5_g_2_m_0_-_6_C_3_B	0.508
4ler_A	_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_0_k_4_e_23_h_9_o_23_l_18_l_7_A_2_A	0.416
4mnd_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D_0_-_3_J_3_I	_0_G_3_j_3_D_3_b_1_e_0_-_2_b_3_E_2_B_1_d_6_D_12_D_2_E_7_I	0.491
1uq5_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_4_j_6_b_1_j_8_n_0_-_4_H_5_E	0.427
4guc_A	_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_f_1_A_1_b_4_A_3_F_7_F_9_G	0.462
7sa3_C	_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_3_g_2_t_15_e_6_b_5_o_11_b_6_r_4_B_7_B	0.456
5u0p_Q	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_0_-_1_C_5_D	_7_E_4_r_6_c_0_-_12_o_7_A_3_b_4_f_7_B_10_D	0.470
1yfo_A	_3_d_2_f_0_-_0_-_4_o_9_b_1_C_0_-_0_-_5_D_3_J_3_I	_10_c_1_e_29_E_2_G_4_k_0_-_4_C_4_A_2_A_10_C_2_I_3_H	0.359
1oqs_B	_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_0_j_3_d_1_A_3_A_9_k_0_-_0_-_13_C_2_C	0.357
2qlv_B	_9_b_1_C_5_D_3_J_3_I	_0_b_5_A_1_A_7_F_2_H	0.417
1c7v_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C	_0_i_3_b_0_A_1_f_10_j_3_b_1_A	0.588
1nb5_I	_4_o_9_b_1_C_5_D_3_J_3_I	_2_m_0_-_7_H_2_H_5_H_8_H	0.408
5w1d_A	_9_b_1_C_0_-_5_D_3_J_3_I	_4_b_2_D_6_B_4_C_10_I_6_I	0.594
7ttm_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_3_J_0_-_3_I	_1_I_0_e_7_d_9_F_1_c_0_-_0_-_9_B_32_A_2_B_2_A_4_b_1_I	0.391
4urp_A	_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J	_0_e_18_j_0_-_5_b_0_-_5_D_0_k_18_G	0.386
2fhl_A	_9_b_1_C_5_D_3_J_3_I	_6_b_3_F_7_F_6_I_5_I	0.664
5amw_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_0_J_0_-_3_c_7_g_4_G_7_E_1_b_3_I_0_b_1_G_7_J_5_J	0.376
4rxm_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_2_E_4_k_4_C_8_h_0_-_0_-_4_C_11_C_1_l_4_F_5_m_3_G	0.350
3bwh_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_6_h_5_b_1_g_10_g_1_j_5_H_5_E	0.360
1wt9_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_I_1_h_6_A_0_-_5_l_0_-_3_B_29_E_2_G_4_H	0.453
2dlz_A	_9_b_1_C_0_-_5_D_3_J_3_I	_0_b_3_B_3_i_4_D_8_E_4_H	0.593
4qt9_B	_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_2_h_4_l_3_d_9_B_18_d_7_a_7_b_2_E_2_D	0.391
1p6x_B	_0_I_0_i_0_-_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_0_I_6_h_1_b_4_C_3_d_6_j_6_q_0_-_5_C_7_E	0.520
3kg7_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_4_E_0_-_5_b_7_e_0_-_7_b_7_F_10_E_4_B_4_H_4_K	0.432
6s5f_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D	_2_I_3_g_7_F_3_d_1_g_9_F_4_b_4_i_4_D_6_m_12_B	0.392
6edx_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b	_2_J_2_F_1_k_1_b_0_-_15_m_3_c	0.354
3mca_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_0_-_0_-_3_J_3_I	_6_E_12_i_5_E_1_c_3_j_0_-_10_b_0_-_0_E_14_c_6_e_13_I_2_I	0.503
1ion_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_3_J_0_-_3_I	_0_E_7_k_4_D_6_c_9_d_0_-_5_c_7_C_5_e_2_h_7_D_15_E_3_e_11_I	0.427
4rsc_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_2_I_4_c_2_c_3_f_5_I_4_b_13_C_4_D_1_C_4_F_2_c_6_G	0.533
3gqb_B	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b	_11_I_7_h_2_D_1_d_12_A_2_b_10_o_11_c	0.507
2be3_A	_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_e_0_-_10_c_4_C_4_j_5_E_12_H_6_H	0.534
4b1j_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_0_-_5_D	_18_E_0_j_23_c_0_-_6_m_5_G_6_b_7_C_4_c_4_E	0.554
1lf7_A	_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_0_c_0_-_0_-_8_c_1_H_8_G_2_I_2_J_5_C_8_G	0.356
3eoj_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_0_-_3_I	_10_J_3_l_1_j_0_-_4_f_0_-_0_-_2_B_3_G_5_J_4_c_7_b_4_H	0.435
4mig_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_1_E_2_j_27_G_2_f_7_k_0_-_15_C_8_D_14_b_0_F_9_H	0.491
1nku_A	_0_i_3_d_2_f_4_o_9_b_1_C	_4_j_8_d_3_g_8_n_4_g_5_A	0.544
1cgt_A	_9_b_1_C_5_D_3_J_0_-_0_-_3_I	_1_b_0_C_3_D_6_H_2_A_3_E_4_H	0.515
1hsk_A	_0_I_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C_5_D_0_-_3_J	_2_D_4_i_2_A_2_b_6_f_2_A_2_A_0_c_0_F_5_D_11_c_3_G	0.402
3ojy_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_2_E_11_i_0_-_2_H_0_f_6_m_2_b_9_C_2_C	0.631
1vpm_A	_9_b_1_C_0_-_5_D_3_J_3_I	_2_b_5_A_1_l_6_A_17_H_8_H	0.436
5olq_C	_3_d_2_f_4_o_9_b_1_C_5_D	_4_c_0_-_7_B_3_b_9_B_2_D	0.353
4i9x_B	_9_b_0_-_0_-_1_C_5_D_3_J_3_I	_0_c_4_A_5_F_7_C_9_D_18_E_4_G	0.378
1u0m_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_0_-_0_-_3_I	_5_i_4_C_3_c_0_-_5_r_3_b_2_D_9_g_7_D_3_m_4_H_0_c_7_h_2_H	0.399
6ebq_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_14_E_20_g_1_c_2_G_1_e_0_-_3_h_0_-_3_E	0.353
1y0k_A	_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_0_o_2_l_6_b_0_A_8_B_0_-_2_H	0.488
1s4b_P	_0_i_0_-_3_d_0_-_2_f_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_3_j_4_o_5_e_7_v_12_f_0_-_9_d_4_l_1_D_11_F_5_G_11_E	0.408
1xrs_B	_0_I_0_i_3_d_0_-_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_8_G_6_f_10_b_3_D_6_i_4_D_7_l_3_b_1_D_5_d_5_B	0.387
2p5x_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_2_M_4_i_1_c_1_b_0_-_5_c_0_-_1_D	0.367
4wfw_A	_9_b_1_C_0_-_5_D_3_J_3_I	_4_b_1_C_2_B_9_E_3_E_2_E	0.578
1eib_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_4_F_0_-_2_c_4_f_2_D_31_j_3_b_0_E_1_E	0.501
4ivi_A	_2_f_4_o_9_b_1_C_5_D	_5_f_13_b_2_b_3_D_7_D	0.576
4y1p_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_3_F_0_i_1_b_2_C_1_l_2_b_1_D_4_D	0.498
4whc_B	_9_b_0_-_1_C_0_-_5_D_0_-_3_J_3_I	_5_b_0_E_4_C_7_B_5_B_4_b_1_H_5_I	0.442
1zoi_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_1_i_0_-_14_k_2_j_4_e_4_E_11_f_3_E	0.357
3gzx_B	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_2_I_0_-_6_e_8_D_1_j_0_-_5_b_0_-_4_K_5_K_3_L_6_I	0.393
1mzy_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_0_-_3_J_3_I	_16_I_15_j_6_C_0_-_0_-_8_b_1_C_3_G_6_C_3_D_9_C_8_G_4_F	0.419
4lu3_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_6_H_0_-_6_c_6_J_4_f_0_-_2_b_6_C_4_c_7_E_0_-_10_E	0.487
2ey4_A	_0_I_0_-_0_i_3_d_0_-_0_-_0_-_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_4_J_2_A_7_k_3_d_2_A_0_d_4_C_1_f_5_A_0_b_0_D_7_E_4_F_3_e_4_G	0.414
3crm_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C	_5_G_3_m_2_h_10_b_3_g_5_p_0_-_5_C	0.547
3gee_A	_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D_3_J_0_-_3_I	_3_j_1_i_1_f_17_s_1_E_6_f_3_D_2_E_8_F_6_k_4_F	0.368
1lpb_B	_0_I_0_i_0_-_3_d_0_-_0_-_2_f_4_o_0_-_0_-_9_b_1_C_5_D_3_J_0_-_3_I	_0_E_1_j_7_D_17_b_3_C_21_D_12_d_5_p_8_A_3_d_18_b_9_D_10_J_2_J_2_A_3_G	0.364
1q9j_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_17_G_7_m_1_c_4_e_0_-_0_-_9_C_14_H_9_F_2_F	0.391
3si1_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_0_-_5_D	_9_F_20_j_3_c_8_F_16_j_0_-_11_b_5_C_13_k_36_b_4_C	0.425
4wjk_A	_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_3_J_0_-_3_I	_2_c_1_E_1_e_14_A_5_b_8_C_8_E_8_D_6_E_10_D_8_E	0.396
4af9_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_5_I_1_E_5_A_0_-_3_f_0_-_0_-_5_C_6_G_4_I_4_H	0.383
1rh6_A	_3_d_2_f_4_o_9_b_1_C_5_D	_1_e_7_h_3_A_0_-_3_B_2_D	0.413
7e6h_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_7_H_0_-_8_d_2_a_9_g_8_k_0_-_8_F_24_E_11_E_6_G	0.474
1itx_A	_0_I_0_i_3_d_2_f_0_-_0_-_4_o_9_b_1_C_5_D	_4_E_0_-_3_d_3_f_2_C_22_d_10_j_3_b_0_E_1_E	0.457
2gk2_B	_9_b_0_-_1_C_0_-_5_D_0_-_3_J_3_I	_5_b_0_E_4_C_7_B_5_B_4_b_1_H_5_I	0.442
1ifv_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_I_3_h_0_-_2_g_0_-_0_-_3_G_7_E_7_I_4_G	0.453
4izb_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_4_E_2_b_5_k_7_E_10_f_3_n_0_-_4_C_3_B	0.388
5c55_B	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_9_k_5_D_1_c_5_h_0_-_0_-_5_C_4_k_7_C	0.378
1i8o_A	_0_i_3_d_2_f_4_o_9_b	_0_j_32_g_6_h_1_j_3_b	0.570
3bfm_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_2_I_11_G_0_-_15_b_0_-_7_n_3_j_5_C_2_D	0.412
5xmc_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_1_G_5_j_2_c_1_E_3_l_3_b_2_B_5_B	0.508
6k55_B	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_3_E_4_e_4_c_2_l_5_E_3_c_2_l_4_b_3_C_18_A	0.403
1tu7_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_0_E_3_j_5_D_1_b_0_-_0_-_4_b_7_C_2_C	0.428
7ndj_B	_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_0_k_5_E_0_c_8_A_2_g_0_-_0_-_3_C_1_C	0.373
4awx_B	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_j_0_-_4_f_4_k_0_-_2_D_2_D	0.509
1t17_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_3_J_3_I	_0_G_0_-_0_-_4_f_0_-_0_-_17_F_2_H_8_H_4_E_7_I_2_I	0.365
1ggx_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_0_-_0_-_1_C_5_D_3_J_3_I	_4_I_7_b_1_b_2_b_0_-_9_c_5_H_4_J_2_J_12_C_2_G_2_J_4_J	0.383
4zrn_A	_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_6_e_1_d_6_i_4_F_24_n_0_-_2_F_1_B	0.415
2onk_A	_0_I_0_-_0_i_0_-_0_-_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D_0_-_3_J_3_I	_2_H_3_D_6_h_6_E_2_A_25_e_7_k_0_-_11_b_2_k_6_C_7_m_3_D_2_f_2_E_2_E	0.357
4kpd_A	_0_i_3_d_2_f_4_o_0_-_9_b_0_-_1_C_5_D	_0_i_0_-_1_g_3_m_6_k_2_b_2_r_4_A_2_A	0.373
8ruc_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_0_-_0_-_3_I	_11_H_5_i_10_d_0_-_0_-_2_c_2_F_7_F_0_-_1_b_5_h_2_b_3_I	0.410
5j7n_A	_9_b_1_C_5_D_3_J_0_-_3_I	_5_b_0_-_1_D_2_G_7_b_8_G	0.480
2pyw_B	_0_i_0_-_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_7_k_8_p_3_b_13_f_3_l_3_B_5_b_0_B_4_B	0.405
1vdk_A	_0_i_3_d_2_f_4_o_9_b	_3_j_2_c_10_f_5_f_2_d	0.510
6qo5_A	_0_i_3_d_2_f_4_o_9_b	_0_i_4_b_3_f_4_n_5_f	0.569
1shs_A	_9_b_1_C_5_D_3_J_0_-_0_-_3_I	_5_b_0_E_2_F_21_F_6_b_1_D_2_G	0.361
4z5p_A	_3_d_2_f_4_o_0_-_9_b_1_C	_1_c_0_-_34_m_4_A_3_b_15_C	0.487
6er4_A	_9_b_1_C_5_D_3_J_3_I	_6_b_5_C_2_B_2_B_4_H	0.499
2p3v_A	_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_m_0_-_4_C_9_H_1_e_5_G_2_H	0.423
2ewm_B	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C	_1_G_5_c_2_f_2_c_9_i_0_-_2_b_6_C	0.538
1yoa_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_4_F_3_h_1_E_5_e_0_-_6_A_0_-_2_A_2_D_6_B_4_J_4_K	0.388
7k1v_A	_0_i_3_d_2_f_0_-_4_o_9_b_0_-_1_C_5_D	_6_i_13_c_1_f_4_h_3_n_8_h_28_n_17_A_6_A	0.380
5efr_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_G_6_g_0_-_9_h_0_-_7_e_0_-_7_G_4_H_5_G	0.421
1sq5_D	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C_0_-_0_-_0_-_5_D	_8_F_5_j_8_D_0_c_3_e_0_-_9_b_2_j_6_B_2_A_4_A_5_B_3_D	0.357
1s7g_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_4_D_1_f_10_c_2_d_1_e_1_i_10_j_3_E_5_c_5_B_0_-_2_G	0.359
2fl1_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_0_-_0_-_1_C_5_D_3_J_3_I	_1_I_0_-_7_b_1_b_0_-_14_c_5_H_4_J_4_J_12_C_2_G_4_J_4_J	0.393
2hwv_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_2_j_7_c_6_b_3_l_0_-_9_C_3_C	0.498
5b6b_F	_0_i_3_d_0_-_2_f_4_o_9_b	_0_e_6_d_7_o_33_l_17_o_3_d	0.402
5yu2_C	_4_o_9_b_1_C_0_-_5_D_0_-_3_J	_16_n_3_b_0_G_2_k_6_E_4_b_2_G	0.361
4xpu_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_5_I_9_k_7_C_12_h_0_-_0_-_3_D_17_E_2_F_8_F	0.383
5thm_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_6_i_5_F_5_e_14_c_11_n_0_-_19_E_2_E	0.507
1bih_A	_9_b_1_C_5_D_0_-_3_J_3_I	_4_b_8_B_5_E_1_b_4_G_7_G	0.571
1nm8_A	_0_I_0_i_3_d_0_-_0_-_0_-_2_f_4_o_0_-_9_b_0_-_1_C_5_D_3_J_3_I	_0_G_0_-_5_d_4_m_5_E_8_D_3_i_6_p_5_k_6_c_1_e_4_D_7_B_8_F_4_G	0.366
1g4i_A	_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_0_j_5_c_0_-_18_m_1_d_4_b_4_C_2_C	0.622
2hjr_A	_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_5_j_0_-_1_h_6_l_4_I_1_b_1_J_2_D	0.390
1nrf_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_3_H_4_D_1_d_5_l_27_f_2_j_1_i_23_k_6_j_0_D_2_J_5_I	0.409
3b8o_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_0_G_7_i_8_e_5_h_0_-_2_c_5_h_4_C_10_E	0.632
3wkx_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_E_0_-_0_b_0_-_0_-_4_b_0_B_5_b_1_D_6_J_18_I	0.480
4ayb_B	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_5_j_0_-_3_f_10_H_0_-_3_C_3_C_2_f_4_J_2_A_3_H	0.467
1yvu_A	_0_I_0_-_0_-_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_8_I_2_k_4_J_5_i_7_E_2_j_4_C_0_e_2_l_0_-_6_A_8_D_1_B_9_G_5_H	0.361
1rf8_B	_0_i_3_d_2_f_4_o_9_b	_0_h_7_b_13_b_8_j_6_e	0.389
2qyq_A	_3_d_2_f_4_o_9_b_0_-_1_C_0_-_0_-_5_D_3_J_3_I	_0_b_0_-_0_-_6_b_6_A_1_C_2_B_4_A_11_B_8_G_13_I	0.395
1z2i_A	_2_f_4_o_9_b_0_-_1_C_5_D_0_-_3_J_0_-_3_I	_1_k_4_l_3_b_1_k_9_C_4_D_5_n_1_H_6_h_3_E	0.352
2z7f_E	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_I_2_C_1_c_0_-_0_-_4_b_1_C_12_I_12_D_26_E_14_G	0.459
1gec_E	_2_f_4_o_9_b_1_C_0_-_5_D_0_-_0_-_3_J_3_I	_7_f_11_j_18_c_8_C_5_g_4_D_4_c_5_A_9_J_2_F	0.437
1ra0_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_5_j_1_e_15_C_4_f_0_-_0_-_5_C_2_D	0.509
1tah_B	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_4_E_1_j_1_b_0_F_7_j_7_k_7_h_3_i_17_C_2_G_4_F_2_E	0.386
5e58_D	_3_d_2_f_0_-_4_o_0_-_9_b_1_C_0_-_5_D	_1_d_13_c_18_b_4_m_0_C_4_b_6_A_3_A_5_D	0.385
4esa_D	_0_i_0_-_3_d_2_f_4_o_9_b	_0_j_3_l_1_e_9_e_1_m_5_c	0.507
5iko_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_0_-_3_J_0_-_3_I	_3_i_0_-_4_f_9_l_0_-_4_E_7_D_2_D_12_A_1_b_1_J_2_N_6_I	0.457
1hkq_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_3_j_9_b_0_D_0_f_4_l_0_-_3_D_2_E_2_F_4_E	0.509
1ppr_M	_0_i_3_d_2_f_4_o_0_-_9_b	_3_k_0_-_4_f_3_o_15_n_6_b	0.506
1u0s_A	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C	_0_G_7_k_3_E_2_d_6_G_3_h_0_-_0_-_6_F	0.398
1iuz_A	_9_b_1_C_5_D_3_J_0_-_3_I	_10_c_1_D_5_D_4_E_4_b_2_F	0.408
1jt6_B	_0_i_3_d_2_f_4_o_9_b	_0_j_7_g_5_b_5_o_2_b	0.605
5fbm_A	_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_j_3_n_0_-_4_B_0_-_3_G_10_G	0.388
4x2r_A	_0_I_0_-_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_0_G_2_A_6_i_5_D_11_h_5_C_5_g_0_-_2_b_0_-_1_E	0.403
1lvl_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_3_k_3_C_6_e_1_n_17_q_0_-_3_B_3_D	0.396
2a7r_D	_0_I_0_i_0_-_3_d_0_-_0_-_2_f_4_o_0_-_9_b_1_C_5_D	_4_F_2_i_3_C_9_d_5_k_3_D_5_h_0_-_4_C_1_b_17_C_4_C	0.393
6qai_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_0_E_0_-_1_c_5_j_4_C_9_k_0_-_2_D_10_k_2_D	0.351
3tr5_B	_2_f_4_o_9_b_1_C_0_-_0_-_5_D_0_-_3_J_3_I	_4_f_1_l_5_d_3_E_2_b_3_j_6_B_3_A_7_H_4_H	0.378
1lkx_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_3_G_12_j_2_h_8_c_10_g_0_-_5_b_0_B_3_C	0.620
2nqa_B	_0_I_0_-_0_-_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_2_G_2_C_2_A_11_j_3_b_0_-_0_-_11_b_2_C_7_g_4_D_5_b_14_J_2_H	0.532
5uxm_A	_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_13_c_4_p_4_f_8_o_6_b_5_D_3_e_1_B	0.537
