6ei0_N	_1_j_5_b_12_m_15_q_12_j	_0_q_4_b_1_o_6_q_4_p	0.500
2d4z_A	_1_C_0_f_5_g_10_C_0_-_2_k_2_n_2_j_5_o_2_o_7_k_1_D_0_-_2_c_1_g	_0_A_0_-_4_i_4_D_6_F_0_k_0_-_21_j_11_A_0_-_11_j_3_E_2_F_0_-_0_i	0.393
3p04_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D	_4_j_4_B_0_-_0_-_5_m_5_B_2_C	0.522
7u48_C	_7_k_0_-_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_0_-_2_B_1_i_5_i_2_f	_0_k_2_G_4_D_5_A_0_-_1_l_9_B_0_-_2_b_7_c_3_B_0_j_0_-_2_j_0_-_2_i_13_b_9_A_1_j_6_j_8_c	0.446
2d2m_D	_2_k_2_n_2_j_5_o_0_-_2_o_7_k	_0_k_9_l_7_b_5_m_5_l_6_m_5_l	0.529
6fah_B	_0_k_0_-_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_5_g_10_C_2_k	_1_l_4_F_4_j_3_D_0_-_9_k_6_D_10_g_0_-_8_F_2_G_0_-_0_-_2_A_0_-_0_-_2_C_2_D_1_b_7_h_3_B_40_k	0.358
2g64_A	_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_0_-_21_B_4_D	_8_j_4_K_0_-_10_k_4_A_0_c_1_c_5_l_3_b_0_H_2_D	0.393
3e39_B	_2_h_14_i_8_F_0_-_0_-_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g	_0_g_13_j_10_F_3_g_4_e_2_G_0_-_5_k_0_-_2_d_0_-_3_D_1_j_7_I_12_c	0.474
1z6n_A	_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_f_3_e_0_-_0_-_3_m_3_g_5_E_0_-_5_l_3_E_0_-_1_f_0_-_13_D_5_E_3_e_1_g_4_k	0.365
1v2y_A	_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_5_g_10_C	_0_E_5_E_0_-_5_m_0_-_8_d_0_-_2_C_4_A_6_c_0_-_5_F	0.375
1ybe_A	_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_0_-_7_k_1_D_2_c_1_g_9_m_0_-_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B_0_-_0_-_0_-_1_i_5_i	_0_e_0_-_16_k_0_-_4_G_0_-_12_j_0_-_6_h_11_g_7_C_0_-_0_-_4_D_0_-_0_-_0_-_3_p_4_o_7_B_8_m_0_C_2_f_10_h_3_m_2_b_1_A_0_-_6_e_3_d_2_A_6_k_4_b_0_-_1_C_5_j_4_E_1_c_13_G_2_A_7_b_4_j	0.368
3pzj_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_0_-_10_C_2_k	_3_D_0_-_2_k_2_c_0_-_10_k_4_F_7_E_2_b_1_H_7_l_0_-_0_-_0_-_4_F_0_-_3_i_3_D_11_C_2_e	0.363
2qv0_A	_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m	_3_k_3_E_0_-_2_i_0_-_4_C_8_g_7_E_0_-_5_e_4_C_0_-_4_m	0.418
3hr4_G	_0_m_0_-_8_k_0_-_2_e_2_h_14_i_8_F_0_-_2_I_9_c_7_l_0_-_5_o	_0_n_2_G_4_k_3_A_10_b_0_-_0_-_5_F_12_f_9_G_0_-_8_k_2_I_0_o	0.442
4s2l_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e_1_j_5_b_12_m_15_q_12_j_0_-_2_B_1_i_5_i	_0_A_0_-_1_g_0_-_5_F_4_C_2_c_2_A_2_b_2_g_20_b_5_e_3_j_1_j_13_c_4_A_0_j_7_i	0.404
1jeb_B	_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o	_0_k_2_l_1_e_9_d_0_-_0_-_0_-_0_-_0_-_2_n_4_i_10_o_2_n	0.397
1oms_C	_8_B_0_-_0_m_8_k_2_e_2_h_14_i_8_F_2_I	_0_D_4_G_1_m_13_m_0_-_2_h_0_-_4_H_8_H	0.534
6gq9_A	_1_D_2_c_1_g_9_m_21_B_4_D	_0_I_3_c_7_g_0_-_6_E_7_D	0.436
4xcp_A	_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m	_0_b_2_c_0_-_0_-_3_h_0_-_2_j_6_j_1_j_2_d_3_o_6_l_0_-_2_i_1_g_2_e	0.402
6d65_A	_0_k_0_-_10_j_8_B_0_m_8_k_0_-_2_e_0_-_0_-_0_-_0_-_0_-_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_1_C_0_-_0_-_0_-_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_0_-_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_6_l_2_D_4_i_6_D_0_-_0_h_10_c_4_d_2_A_2_A_2_A_1_B_2_D_10_j_4_B_6_i_3_E_2_G_0_-_3_l_0_-_9_h_3_E_1_i_3_C_3_A_7_B_1_E_5_f_7_i_4_A_2_f_0_-_3_j_1_A_6_l_5_k_4_C_2_D_2_b_1_f_0_-_3_D_12_D_0_-_0_-_0_-_0_-_9_m_4_D_5_k_0_-_3_h_9_j	0.392
3g2b_A	_4_D_0_b_0_-_11_e_1_j_5_b_12_m	_0_D_0_b_1_D_10_g_6_j_0_-_4_m	0.706
2fg5_A	_14_i_8_F_2_I_0_-_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_5_i_12_H_4_H_3_e_1_c_4_F_4_l_0_-_0_-_0_-_5_F_1_e_4_h_4_C_8_i	0.527
5xbf_B	_3_c_2_c_0_-_1_C_0_-_0_f_5_g_10_C_0_-_2_k	_0_b_3_c_4_F_6_E_6_F_2_d_0_-_7_D_2_A_5_k	0.408
3igf_A	_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_0_-_11_e_1_j_0_-_0_-_5_b	_0_E_0_-_0_-_3_m_4_D_0_-_4_e_8_C_0_-_0_-_2_D_0_-_2_n_10_b_0_-_0_-_7_k_5_D_4_c_3_j_6_l_4_F_3_m_3_E_9_b_5_B_9_e_3_f_4_C_4_D_5_b	0.361
2ybq_A	_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_5_b	_5_b_2_f_4_C_5_c_0_-_7_C_3_k_4_D_9_i_4_C_0_-_4_g_13_D_8_c_5_D_5_i_0_-_7_E_7_E_0_-_0_-_0_i_6_D_2_c	0.387
2kcd_A	_7_k_1_D_2_c_0_-_1_g_9_m_21_B_0_-_4_D_0_b_11_e	_0_k_8_G_0_c_14_G_1_d_0_-_3_E_4_F_5_E_0_-_10_d	0.463
4eag_A	_14_i_0_-_8_F_2_I_9_c_7_l	_0_k_3_E_2_F_6_I_5_F_8_m	0.462
1px5_B	_2_e_2_h_14_i_0_-_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b	_0_b_2_f_10_i_2_d_10_H_6_I_7_c_1_m_0_-_0_-_0_-_5_C_0_-_0_-_6_E_4_J_13_k_0_-_6_k_3_o_6_l_7_k_0_-_1_b_1_A_10_j_0_-_5_B_0_-_0_-_0_-_13_k_3_b	0.396
2qpy_A	_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_0_-_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D	_0_g_0_-_17_q_3_b_2_r_5_C_2_B_1_e_3_l_4_j_2_B_0_-_6_n_7_k_0_-_1_m_10_l_2_B	0.428
2id3_A	_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k	_0_o_1_b_0_-_0_-_2_g_3_g_0_-_2_i_13_m_1_l_1_r_9_k_10_l	0.477
3r1i_B	_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B	_0_d_5_C_5_j_0_-_3_E_2_k_5_C_0_-_0_-_0_-_5_l_4_C_9_b_2_g_5_l_0_-_3_E_2_b_9_p_1_G_6_f_8_b_1_g_0_-_1_b_6_C	0.376
2dbf_A	_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_0_j_8_g_2_h_0_-_3_j_0_-_4_j_3_i	0.455
5k52_A	_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j	_1_r_6_n_3_d_6_l_0_-_2_k_5_g_0_-_1_t_4_n_3_j	0.392
2l02_A	_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c	_0_m_0_-_0_-_5_g_3_j_4_E_2_E_0_b	0.526
4g10_A	_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_0_-_2_f	_0_C_4_f_9_B_8_f_0_-_7_B_5_B_3_g_10_f_2_j_6_b_4_m_0_-_13_e_0_-_6_e_9_j_1_b_4_f	0.508
2oiw_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I	_0_C_3_b_8_j_0_-_1_f_5_b_7_B_8_I	0.353
3ot1_B	_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b_0_-_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i_2_f	_0_B_0_-_10_i_3_A_8_B_5_B_4_b_2_b_2_C_3_g_2_j_3_C_21_e_0_-_10_C_0_b_1_C_2_h_2_c_1_g_5_c	0.389
3o1i_B	_2_k_2_n_0_-_2_j_5_o_2_o_7_k	_0_o_5_r_4_z_3_i_6_p_5_p_4_l	0.415
2om3_A	_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_b_5_A_1_h_9_k_0_-_16_C_6_d_1_d_0_-_5_c_0_-_7_q_0_-_8_B_0_c	0.419
2p2e_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b	_3_j_4_F_5_c_0_-_0_-_9_F_9_D_4_B_1_b	0.431
3osx_A	_0_k_0_-_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o	_2_j_5_G_1_k_4_D_4_l_0_-_6_b_3_b_2_b_1_G_4_E_0_-_3_l_4_l	0.388
6ysi_P	_2_c_1_C_0_f_5_g_10_C_2_k	_0_f_0_C_0_-_3_h_2_E_5_j	0.523
1f7l_A	_2_I_0_-_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_0_-_5_D	0.440
2nvm_A	_2_o_7_k_1_D_0_-_0_-_0_-_2_c_1_g_9_m_21_B_4_D_0_b	_0_o_0_-_6_F_4_I_2_K_2_E_5_c_7_b_0_-_0_B_0_-_4_b	0.371
1c44_A	_5_o_0_-_3_c_2_c_1_C_0_-_0_f_5_g_10_C_2_k	_0_p_2_G_2_b_2_F_5_C_7_E_0_g_5_e_4_C_1_g	0.399
6z47_D	_0_k_10_j_8_B_0_m_8_k_2_e_0_-_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f	_0_k_0_-_8_A_0_-_0_j_7_c_13_A_1_k_5_j_6_B_0_-_0_h_0_-_0_-_9_d_0_-_9_B_0_h	0.352
1zc6_A	_8_F_2_I_0_-_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_0_-_0_-_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b_11_e_1_j	_0_F_4_F_8_A_4_b_1_m_0_-_7_b_0_-_0_F_7_f_6_D_1_h_5_E_3_E_5_C_12_j_0_-_10_i_0_-_0_-_0_-_0_-_13_d_2_f_4_o_0_-_7_C_1_d_1_b_2_e_7_g	0.413
3wzt_D	_7_k_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_4_l_3_F_8_i_2_c_4_h_7_k_7_C_2_B_0_-_7_h	0.561
2v76_B	_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b	_0_E_3_d_0_-_0_-_5_E_3_F_6_G_0_b	0.368
4gpr_A	_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_-_0_b_11_e_1_j_5_b_12_m	_0_l_5_D_0_-_0_-_0_-_6_F_10_F_10_C_13_A_2_b_0_-_9_k_9_h_1_l	0.395
2zhi_A	_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_0_-_12_m_0_-_15_q_12_j_2_B_1_i_5_i_2_f	_0_j_6_g_0_-_4_l_3_g_2_j_0_-_0_-_2_k_0_-_0_-_6_i_2_l_0_-_0_-_3_g_2_j_10_k_4_b_2_i_2_l_3_g_2_s_6_j_0_-_4_j_3_g_2_j	0.409
2kr4_A	_21_B_4_D_0_b_11_e_1_j_5_b_0_-_12_m	_0_B_5_B_0_-_0_-_0_i_12_b_1_A_1_l	0.534
1xpm_A	_10_j_0_-_8_B_0_m_8_k_2_e_0_-_2_h_0_-_14_i_8_F_2_I_9_c_0_-_7_l_0_-_0_-_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_0_-_2_c_1_g_0_-_9_m_0_-_21_B_4_D	_0_f_4_a_9_C_0_-_6_i_4_e_0_F_10_g_7_D_6_j_0_-_6_I_8_b_1_J_4_B_4_C_5_A_8_A_1_p_3_b_0_-_2_C_4_h_2_b_0_-_2_k_0_-_2_c_0_-_0_-_4_l_7_G_3_H_3_c_2_h_2_A_2_j_10_c_4_E_2_D	0.353
2gao_B	_2_e_0_-_2_h_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_0_c_7_E_6_g_0_-_10_C_2_D_4_d_5_F_3_l_0_-_1_b_0_-_4_E_0_-_9_g_21_D_8_h	0.423
6ijj_4	_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_b_1_u_22_p_26_b_0_-_9_r_6_h_0_-_6_h	0.383
5fia_A	_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_0_-_0_-_2_B	_0_m_5_b_4_o_5_n_0_-_0_-_7_b_1_i_9_m_1_b_1_b_12_q_10_b_8_f_2_n_4_b_2_n_7_o_14_i_6_n_0_A_5_B	0.455
4axj_B	_14_i_8_F_2_I_9_c_7_l_5_o_3_c	_1_k_3_F_4_G_0_-_1_m_2_F_4_c	0.462
1iue_A	_8_F_2_I_9_c_0_-_7_l_5_o_3_c_0_-_2_c_0_-_1_C_0_f	_0_G_2_G_4_f_17_E_2_A_0_-_8_d_2_B_0_b_1_A_3_C_3_d	0.371
7sa3_A	_1_g_0_-_9_m_0_-_21_B_4_D_0_b_11_e_0_-_1_j_0_-_5_b_0_-_12_m_0_-_15_q_12_j_2_B_1_i	_0_g_9_d_2_m_16_b_7_A_0_-_13_b_3_e_2_r_6_k_5_d_2_b_3_A_0_l_1_b_1_q_5_j_6_q_23_l	0.464
2b7l_A	_10_j_8_B_0_m_8_k_2_e_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C	_6_j_3_F_0_-_0_-_1_e_8_h_6_D_2_i_4_C_0_-_1_b_0_-_0_-_4_b_0_-_4_C	0.350
1qop_B	_8_B_0_m_8_k_0_-_2_e_2_h_14_i_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_0_-_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_2_D_2_m_2_k_7_B_1_c_0_-_0_-_4_F_0_-_0_b_6_k_4_E_3_k_0_-_0_-_2_F_0_e_1_h_3_D_6_l_3_B_10_f_0_-_0_-_3_k_5_D_0_-_4_i_6_H_2_b_5_c_1_D_1_E_15_b_6_g_4_E_0_l_0_-_5_l_5_F_0_-_1_A_1_j	0.378
3rcm_A	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_2_k_2_n_2_j	_3_i_11_k_8_B_0_-_0_-_3_e_4_h_0_-_0_-_4_I_0_-_7_m_3_E_2_h_2_b_3_B_0_-_6_h_3_A_3_c_5_f_31_l_3_l	0.380
1k30_A	_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_0_-_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B	_0_c_3_k_5_o_0_-_4_o_7_A_8_j_2_b_1_B_1_j_3_E_6_h_0_-_0_-_4_e_1_D_0_d_4_d_2_D_12_n_4_C_22_k_3_H_1_b_5_d_9_C_5_e_0_-_0_-_4_r_4_c_6_A	0.365
3gzu_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_0_-_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_0_-_12_m_15_q_0_-_12_j_0_-_2_B_0_-_1_i_5_i	_6_C_8_m_0_-_7_b_15_i_7_g_4_B_0_-_0_b_0_-_0_-_0_-_0_-_1_F_2_j_9_e_11_D_0_-_27_l_11_j_8_b_0_-_9_j_7_C_5_j_3_b_2_j_23_e_5_j_3_C_8_C_1_b_0_-_4_j_11_t_16_C_0_h_10_t_10_g_11_j_5_n_7_C_17_A_10_f_4_g	0.381
1bed_A	_1_C_0_f_5_g_10_C_2_k_0_-_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_B_0_-_0_-_9_E_4_l_6_E_5_l_3_j_0_-_0_-_9_h_0_-_0_-_5_g_2_m_6_C_3_B_1_b_0_-_3_k	0.396
2ptt_B	_1_D_2_c_1_g_9_m_21_B_4_D_0_b	_6_F_9_d_0_-_0_-_1_B_6_B_4_b	0.357
1oqs_B	_7_k_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_-_0_b_11_e	_0_j_0_-_3_d_1_A_3_A_9_k_13_C_2_C_5_m_6_b_4_c	0.469
2f96_A	_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n	_9_H_8_H_9_f_12_m_4_E_2_l_0_-_0_-_6_G_0_h_4_f_0_-_0_-_11_n	0.368
5k9a_A	_5_o_2_o_7_k_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b	_0_m_5_m_17_g_10_F_0_b_1_G_2_e_0_-_1_B_15_B_13_b	0.448
4urp_A	_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_0_-_2_f	_0_e_18_j_5_b_0_-_5_D_0_k_18_G_0_i_7_p_3_A_4_f	0.486
2jt1_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D	_0_l_4_A_0_-_0_g_3_k_3_C_8_C	0.573
5amw_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e	_0_J_3_c_7_g_0_-_4_G_7_E_1_b_3_I_0_b	0.384
4rxm_A	_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_2_k_0_-_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e_1_j_5_b	_0_E_5_m_2_E_0_-_4_k_0_-_0_-_0_-_4_C_0_-_8_h_4_C_11_C_1_l_4_F_5_m_3_G_4_k_6_C_0_-_2_k_8_B_0_-_5_g_5_C_2_m_6_B_2_B_0_-_1_e_0_-_3_b	0.412
5zji_X	_0_b_11_e_1_j_5_b_12_m_15_q_12_j	_9_b_2_c_18_o_14_b_0_-_8_t_3_i	0.448
1top_A	_0_k_10_j_8_B_0_m_8_k_0_-_0_-_2_e_2_h_14_i	_0_j_2_j_8_B_0_i_6_j_6_B_0_t_9_h_7_j_9_h	0.506
2d2m_A	_0_f_5_g_10_C_2_k_0_-_2_n_2_j_5_o_2_o_7_k	_0_j_0_-_0_-_9_k_2_f_10_m_5_k_0_-_7_m_5_k	0.445
1nq6_A	_2_c_1_C_0_f_5_g_10_C_0_-_2_k_0_-_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e_1_j	_0_f_4_E_1_b_3_i_2_C_5_c_9_k_2_H_12_m_6_E_23_j_4_E_0_-_7_l_5_C_2_B_8_h_4_H_3_l_0_-_4_E_4_b_3_b_12_i	0.472
3o6u_D	_8_F_2_I_0_-_9_c_7_l_5_o_3_c_2_c_1_C	_0_F_7_I_2_J_9_d_8_l_11_n_0_-_0_-_6_B	0.597
6edx_A	_8_F_2_I_0_-_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f	_0_J_2_J_2_F_0_-_1_k_1_b_15_m_3_c_2_e_0_-_5_c	0.418
5a5t_C	_0_k_10_j_0_-_8_B_0_-_0_m_8_k_2_e_0_-_2_h_14_i_8_F_2_I_9_c_7_l_5_o_0_-_3_c_2_c_1_C_0_f_0_-_0_-_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q	_0_k_6_k_5_p_6_n_22_q_5_o_4_m_6_h_11_o_6_k_6_j_0_-_0_-_2_d_0_-_2_o_3_f_1_c_4_c_0_-_14_f_6_b_3_o_13_h_0_-_10_k_0_-_2_k_0_-_9_p_0_-_5_B_0_-_0_f_4_l_4_B_4_B_0_-_0_-_0_-_0_-_0_-_6_q	0.379
6ijj_3	_0_b_0_-_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_0_b_1_s_5_b_0_-_3_b_0_-_16_p_12_e_21_t_3_i_7_b	0.359
3bm1_A	_0_f_5_g_10_C_2_k_2_n_2_j_0_-_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b	_0_f_0_-_6_A_0_-_0_-_5_j_12_E_1_m_0_-_3_k_2_F_0_-_0_-_9_n_0_-_4_D_2_c_1_e_7_J_7_b	0.355
2be3_A	_5_o_0_-_3_c_2_c_1_C_0_f_5_g_10_C_0_-_0_-_2_k_2_n_2_j	_0_s_10_C_2_e_10_c_4_C_4_j_0_-_5_E_12_H_6_H_5_k_5_n_4_i	0.497
4b1j_A	_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_0_-_7_k_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b_0_-_0_-_0_-_11_e_1_j_5_b_12_m_15_q_12_j_2_B_0_-_1_i_5_i	_2_b_19_B_0_-_0_-_3_b_0_-_0_-_31_C_2_C_0_h_6_i_0_-_2_b_6_d_0_-_7_e_5_g_18_E_0_-_0_-_0_j_23_c_6_m_5_G_6_b_7_C_4_c_4_E_14_g_1_h_7_E_5_C_2_b_1_D_11_A_2_E_6_d_1_l_6_b_0_-_3_C_10_k_4_C_4_l_4_j_16_i	0.351
5mln_A	_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_0_-_0_-_12_j_2_B	_0_D_0_-_0_-_4_j_3_E_0_-_2_i_10_C_5_d_8_b_0_-_2_C_0_-_9_b_2_g_5_j_9_E_2_b_0_-_7_p_1_G_5_b_16_j_8_C	0.377
3lhq_A	_0_f_0_-_5_g_10_C_2_k_0_-_2_n_2_j_5_o_2_o_7_k_1_D_2_c	_0_g_1_m_6_g_0_-_3_f_3_q_4_m_1_j_7_r_9_o_6_m_0_-_1_b	0.496
1awc_A	_5_g_0_-_10_C_2_k_2_n_2_j_5_o_2_o_7_k_0_-_1_D_2_c_1_g_9_m	_0_h_9_A_5_B_0_-_0_-_3_j_0_-_0_-_6_k_3_B_6_C_3_c_0_-_4_n	0.366
1th0_A	_7_k_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_-_0_b_11_e_1_j_5_b_0_-_0_-_0_-_12_m_15_q_12_j_2_B_1_i_5_i	_0_j_7_D_2_C_0_-_0_f_7_m_4_B_0_-_4_g_1_b_1_c_0_-_4_b_2_G_2_G_4_D_7_m_0_-_6_b_1_C_14_j_9_m	0.429
2eia_A	_0_f_5_g_10_C_2_k_2_n_2_j_0_-_5_o_2_o_7_k_1_D_2_c_1_g	_0_i_5_i_0_-_5_h_6_n_19_c_6_c_5_o_16_k_4_k_0_-_0_-_18_f	0.433
6ebq_A	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n	_6_g_3_C_14_E_0_-_0_-_0_-_20_g_1_c_2_G_1_e_3_h_3_E_0_-_4_m	0.370
1y0k_A	_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b	_0_o_2_l_0_-_6_b_0_-_0_A_8_B_2_H_4_C_0_-_0_e_2_k_3_b	0.383
4wfw_A	_1_D_2_c_1_g_9_m_21_B_4_D	_0_D_4_b_0_-_1_C_2_B_9_E	0.367
1m7g_A	_2_e_2_h_0_-_14_i_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_0_c_3_g_4_E_6_l_3_C_0_-_1_c_11_n_3_D_5_j_0_-_0_-_11_F_2_d_6_f_20_C_5_k	0.463
1ri9_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b	_0_h_37_D_0_-_0_-_0_-_4_E_3_E_0_b	0.383
3crm_A	_7_k_1_D_2_c_1_g_0_-_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_6_j_2_E_17_e_0_-_2_A_12_m_3_E_2_g_5_G_0_-_3_m_2_h_10_b_3_g_5_p_0_-_5_C_5_j	0.455
2i39_C	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o	_0_k_2_b_4_i_2_k_0_-_0_-_3_f_6_m_7_p	0.482
